sample_id,domain,split,speckle_path,phase_path,pair_method,class_id,group_id,speckle_sha256,phase_sha256,phase_phash
digits_test_00010_000010,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00010.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00010.png,normalized_key,,a4e5267f6ec719ad716f5abf83656640608b175017caf6894ced1204b91537d6,bbf77011dbe16d38f61e98e84c6616fe80bf6216e6c72c9212504fd60572d2f2,a4e5267f6ec719ad716f5abf83656640608b175017caf6894ced1204b91537d6,00000000000007e007f00e703ff81ff81ff80ff80ff007f007e0000000000000
digits_test_00011_000011,digits,test,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\speckles\speckle_00011.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\test\phases\phase_00011.png,normalized_key,,b285d295adccf91f7bd23f341aea775389d4601746dbe6588579e800b2e197e4,438929d6ff900d82b44ff74e59082581b8a817607c016e0c28fe283711e36609,b285d295adccf91f7bd23f341aea775389d4601746dbe6588579e800b2e197e4,0000000000000c000e000f000f000f00070007000f000f000e000e0000000000
digits_train_00000_000012,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00000.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00000.png,normalized_key,,ac645375d5fa4e4de61ae0683ba72903ba55e62fbddbaa4c2a98daffaf7543cd,104799bad97c95479cb01b62d5407a1373f07b5cce6130c2c9d8e46c24d6466f,ac645375d5fa4e4de61ae0683ba72903ba55e62fbddbaa4c2a98daffaf7543cd,0000000000000000078007c00fc00fc001e000f000780078003c001800000000
digits_train_00001_000013,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00001.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00001.png,normalized_key,,0c4ef5ebd4e3b20b9f9346077625131ad1dd24841f8d6abcb929b48f9aa342b6,0a6da320fc03616f9abff55d1fd3215ae3e09e3599ecfb9737977d4b78985e22,0c4ef5ebd4e3b20b9f9346077625131ad1dd24841f8d6abcb929b48f9aa342b6,0000000031803fe01ff01ef01ff81ff81f380e380e7007f007e0008000000000
digits_train_00002_000014,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00002.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00002.png,normalized_key,,9091953d3e59e1fabc68a6aa387b0d2074a3cb6a99c3951e41207628a0fa0dd5,04211d78be7a8d75ba0da56a6d4d3c5e607bc5e1bae2b8d090159d0600f4514e,9091953d3e59e1fabc68a6aa387b0d2074a3cb6a99c3951e41207628a0fa0dd5,00000000018007e00ff00e700fb81ff81ff81e781f700ff007e0018000000000
digits_train_00003_000015,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00003.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00003.png,normalized_key,,30cdf662ade02d1b8eb6c80b17cb27825d4f03f2da31d8516743a9680db358a7,0a61dec1c1839a7e878cac1461aa23d0d84f253611c350b96196082ddd7e5ebc,30cdf662ade02d1b8eb6c80b17cb27825d4f03f2da31d8516743a9680db358a7,000000000000000003f80ffc0ff80e701fe01fe01fc01f801c001c0000000000
digits_train_00004_000016,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00004.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00004.png,normalized_key,,245a0fb74595af89a25a166092fd970aedd9af17d74dccd2b8370d8b34de5dbc,242ddae71480cec4281bb52cf8c370b5b27ceb510f2caa29932b4ded19d1a819,245a0fb74595af89a25a166092fd970aedd9af17d74dccd2b8370d8b34de5dbc,00000000000003ec07fc0e3c0c380cb80df80ff80ff807f80ff00f3004000000
digits_train_00005_000017,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00005.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00005.png,normalized_key,,0ef9e2635531e15222437beb2a39bbe8a74051e990c8095e1134889c40b6d84d,f8918c83ab3596783edfaaf4396695bae33c25b483bdc5278118f65e0e15d99f,0ef9e2635531e15222437beb2a39bbe8a74051e990c8095e1134889c40b6d84d,0000000003f003f807f80ff80df80df80df80df00ff007f003e0000000000000
digits_train_00006_000018,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00006.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00006.png,normalized_key,,8462ced88a4a934e25e67be60adbfc7be05fd0c09e74b88988dab315ed559017,26af6afac09f61655d79f1c3ddf807256cacc6b44c78ffd9e3ba2c27072a5dc1,8462ced88a4a934e25e67be60adbfc7be05fd0c09e74b88988dab315ed559017,00000000000007f80ff81fb81fb807f803f800f000700038003c001800000000
digits_train_00007_000019,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00007.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00007.png,normalized_key,,0b37e4308e2b716d705a8279376e6b46a3c4d4ec7ca2558009e7623c0cddc28a,d2596e2a88056f35e9c2d331687847872bf2c42b79aaf118cb0772f7d77ba8d6,0b37e4308e2b716d705a8279376e6b46a3c4d4ec7ca2558009e7623c0cddc28a,0000000007800fe00ff00ff00ff00ff80ff80fb80ff007f007e0030000000000
digits_train_00008_000020,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00008.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00008.png,normalized_key,,d7b9e30d414363e93589e74ab1785d0eed17f558dc733a3e3ee69308b0e139ef,6e9507569f7100581b0952874ea3e81e7ca483ab4584ede352073e248df7a2d0,d7b9e30d414363e93589e74ab1785d0eed17f558dc733a3e3ee69308b0e139ef,000000000030007800f801f001e003e003f001f000f000000000000000000000
digits_train_00009_000021,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00009.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00009.png,normalized_key,,660834793e8b0b6529b75c7878b9ec5569d13b3a33a03fb0ede87a3083899473,a796c2934626e7df39b95fe4c1e6bbae41bee0343662c6a8cc7cd735b65239c6,660834793e8b0b6529b75c7878b9ec5569d13b3a33a03fb0ede87a3083899473,00000000008007e007f00ff00cf81ff81ff80ff80ff007f007e0000000000000
digits_train_00010_000022,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00010.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00010.png,normalized_key,,8cc428e528050c3b2c717b02b04212d8a4723d339f024e6e5803438b1db834f3,f1e37f890abb5798161548a5a0cde3062a5c317c0044aaa4c339c55fd3096cc4,8cc428e528050c3b2c717b02b04212d8a4723d339f024e6e5803438b1db834f3,0000000007003f803fc01fc007c00fc007000000000000000000000000000000
digits_train_00011_000023,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00011.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00011.png,normalized_key,,faadb91883e00b02364aabfe69b7f9e7d382487ac77a2a9534549cacc5de99ef,2ab29ff0316e6faeb94b1ca2bdbecb6f724f4c296c3616d2eca45a096b77ba0c,faadb91883e00b02364aabfe69b7f9e7d382487ac77a2a9534549cacc5de99ef,000000000c801fe01ff00f700fb81fb81df80cf80ef007f007f000b000000000
digits_train_00012_000024,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00012.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00012.png,normalized_key,,eaeee20c25f83c8b6d9d3e5b9fc54c8a8056567302c54612603ba70f8872a461,7b0a58e92e795b82995a0bf6bf33b59e7b0f07c35d997268e1924a3b8e9c1ca8,eaeee20c25f83c8b6d9d3e5b9fc54c8a8056567302c54612603ba70f8872a461,0000000038003e001f8007e001f800fc01f801f001e000e000e0000000000000
digits_train_00013_000025,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00013.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00013.png,normalized_key,,e71a386045705577cfad2598caa2aeed7643e1e63013b76dd54004a53c39d03e,fcf72289717b265894dedae0ae5eb9d9083281e917c51800bdeda41028fba577,e71a386045705577cfad2598caa2aeed7643e1e63013b76dd54004a53c39d03e,00000000018007e00ff00ff01ff81f381e380e380e700ff007e0078000000000
digits_train_00014_000026,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00014.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00014.png,normalized_key,,9e040f9bd027be44d4f516aa8523c06a827b2f20e2b88a65c3feafd2f21dc1fd,8c6045f10b41725505b8ac7f92a3522baf3db9bcc6e97f3d4050dc0f5da5a592,9e040f9bd027be44d4f516aa8523c06a827b2f20e2b88a65c3feafd2f21dc1fd,000000000010007801fc03fc07fc03d803800780070007000e00060000000000
digits_train_00015_000027,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00015.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00015.png,normalized_key,,dce653dcc7f23b310f77272f73b3d9ec26942628b6ddffd47ec02e63364b88c8,c55ebe38356943bef928cafc4a5e3766531c66f5ba239bd37c1f654697ad4bb6,dce653dcc7f23b310f77272f73b3d9ec26942628b6ddffd47ec02e63364b88c8,000000001e001f801fe01ff01ff001f000000000000000000000000000000000
digits_train_00016_000028,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00016.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00016.png,normalized_key,,2f4d9fc9f33f143f2dccde80856feb9c00add80f3f13b621057e2ece494c5a47,e1ec7c3451e221331863313aa74723695a0f225f9bdb717ded91e1bfbe6efedc,2f4d9fc9f33f143f2dccde80856feb9c00add80f3f13b621057e2ece494c5a47,00000000008007e007f00e700ff81ff81ff80ff80ff007f007e0008000000000
digits_train_00017_000029,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00017.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00017.png,normalized_key,,1e91f0e30c77054871f3756faa91b97dc21b0ba78afd123f6f861297d23bd634,70adb5811bc4abc17738173bf7e8d6233e2647b71651c081f085f2628b1ddbde,1e91f0e30c77054871f3756faa91b97dc21b0ba78afd123f6f861297d23bd634,000000000000000008001f001f001f000f000f80078007800380030000000000
digits_train_00018_000030,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00018.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00018.png,normalized_key,,1399c86b0834da774822721f15fc0f047be7547bdd8661954f01699007faaa59,8943ac9fe5252e9a5f5fdae06d105f59274ea25cb49bf20e858ec1aa5f765b2c,1399c86b0834da774822721f15fc0f047be7547bdd8661954f01699007faaa59,0000000031801fe01ff00f700fb81fb81df80df80ef00ff007f0018000000000
digits_train_00019_000031,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00019.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00019.png,normalized_key,,d39bf9931e38ae57fcfeff6ad941c3a4f162df120fdf010d7ec209ebb1db5448,c31384da3e0ea8f1a57f4f76071d8828a8cdb7ae9592ebca7c1ba2c409541a7f,d39bf9931e38ae57fcfeff6ad941c3a4f162df120fdf010d7ec209ebb1db5448,0000000001e007e007f00ff00ff80ef81ef81ff81ff01ff007e0000000000000
digits_train_00020_000032,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00020.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00020.png,normalized_key,,aeeedcc7f1edd9d8917953c83ae0f5c912500a00d5538b54c60fbea45e455178,99498186fbe74cb25a8dbb03811ca8c2939c0597a2543540633ed39241828c35,aeeedcc7f1edd9d8917953c83ae0f5c912500a00d5538b54c60fbea45e455178,0000000007800fe00ff01ff01df81df83df83df80e7007f007e0008000000000
digits_train_00021_000033,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00021.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00021.png,normalized_key,,17f6d004451d02a64541af115bf55361ad777c62064b5bd2ae1ce5405a57c239,ce7df02624f9bfdc510e039e0a8d83390e2d895e6cf6d3ba716407d157f52856,17f6d004451d02a64541af115bf55361ad777c62064b5bd2ae1ce5405a57c239,00000000000003e007e00ef00df00ff80ff80ff81ff81ff81fe0000000000000
digits_train_00022_000034,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00022.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00022.png,normalized_key,,b03038a101261b1ac8afe19ef9bc670e33b447a3c1bfefc2387c9ad52fb3b0cd,2992c86c3fa9bb4d756836c993035af6defedfc9ede22e0f0ba442460205bc6e,b03038a101261b1ac8afe19ef9bc670e33b447a3c1bfefc2387c9ad52fb3b0cd,0000000001800fe01ff01ff00ff81ff81ff80f380f7007f007e0018000000000
digits_train_00023_000035,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00023.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00023.png,normalized_key,,b31b834822f015daa8832b91a4d68fc5184073f6ec30ce70d96022a81e97b9e3,7393528f02dc6db808440fc150d9cacf7e85ea4ae4f2eb64796c2e0c5dd3c8c7,b31b834822f015daa8832b91a4d68fc5184073f6ec30ce70d96022a81e97b9e3,0000000001e007e00ff00ff00e781c781c381c381e780ff807e0018000000000
digits_train_00024_000036,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00024.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00024.png,normalized_key,,f2e1fa63b5f7aacd802b7fa8359cc8d24ad7b505dcc0f49045566c706bcfd2f6,6bd84f548f8912591ee5c82b168b3e85808509fa22cb57552c170c0978522415,f2e1fa63b5f7aacd802b7fa8359cc8d24ad7b505dcc0f49045566c706bcfd2f6,00003f803fc01fc0078003801f801f800f800780038001800000000000000000
digits_train_00025_000037,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00025.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00025.png,normalized_key,,534f4c550d168f7341518b1e2f1f9fb127d4df4f3a18306af7febe3b09147b7e,743cc9b19662a074b9f124e2134921cf1725021ac523f4e239302dd1d7acfb45,534f4c550d168f7341518b1e2f1f9fb127d4df4f3a18306af7febe3b09147b7e,00000000000000000030037807f007e00fc01f801f001e001e000c0000000000
digits_train_00026_000038,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00026.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00026.png,normalized_key,,038a7990ce1b1efa8171b72b1f6ecc620e701b64dd3ea84c1b5315e6362b78a5,b167f6e488a852a71cbb2d4ad0e1e9e012d278947777880b175ba3fcd194d0aa,038a7990ce1b1efa8171b72b1f6ecc620e701b64dd3ea84c1b5315e6362b78a5,00000000018007e00ff00f700fb81ff81ff80ff80e7007f007e0018000000000
digits_train_00027_000039,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00027.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00027.png,normalized_key,,af1a2ee56dce79a9795c4b13c6b00612ab1793e390f61459a3f903cc1a41515c,932cf28aa555e19fc8f2a48a291c27e7a71b55be36149029fc4be164af8d914a,af1a2ee56dce79a9795c4b13c6b00612ab1793e390f61459a3f903cc1a41515c,0000000000000000000003f803f807f007e00fc00f800e000000000000000000
digits_train_00028_000040,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00028.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00028.png,normalized_key,,74c24679578e01359b157c75decc1c5d049ea4db9e1f1361eb7c17f444a0c5dc,3a13d4e1371286a72684e008683671115ae23e44a2be9267d2714d328c6e6b8a,74c24679578e01359b157c75decc1c5d049ea4db9e1f1361eb7c17f444a0c5dc,00000000018007f007f80ff80f381f381f380f380f7007f007e0018000000000
digits_train_00029_000041,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00029.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00029.png,normalized_key,,ff9750dc7ca85ec3ffd341a62d708970228679439b39d61271ca99fcf736f319,6625dc12c5323cba26bebfcbd847aa67b4ca71ba91e4217cbfaff7e2c0f9ae89,ff9750dc7ca85ec3ffd341a62d708970228679439b39d61271ca99fcf736f319,0000000001e007f00ff00e780c381c381cf80df80ff80ff807f8019800000000
digits_train_00030_000042,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00030.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00030.png,normalized_key,,40edd8ba3bbefe97c93fe9f2c21d509beeeb861efe644337fbae621d77d9fbe0,ca872b8f90d75bd227824648449d538b66399eb93347b160441fa244100408f9,40edd8ba3bbefe97c93fe9f2c21d509beeeb861efe644337fbae621d77d9fbe0,000000000e000e0007000700070007000f000e301ef01ff01fc01f0000000000
digits_train_00031_000043,digits,train,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\speckles\speckle_00031.png,E:\laser and photonics\MCF-QPI_项目\MCF_QPI_RVQTwin\data\smoke\raw\digits\train\phases\phase_00031.png,normalized_key,,c6d824224acaf9d313179ec1207ca36d412ac2b6d42eaeed8f26eefe5041b81a,0141716ac9fca4ac0b9ad70b4fef8c529b798aef492c433c3210843e5bea8b67,c6d824224acaf9d313179ec1207ca36d412ac2b6d42eaeed8f26eefe5041b81a,00000000018007e00ff00e701c781c781e781ff80ff00ff007e0018000000000
